  r/R    @ x/c  @   [x,z]     @  twist angles (deg) @ c/R                  @ continuity
  0.091  @ 0.25 @   [0.0,0.0] @   34.45             @ 0.11066666666666668  @  C2
  0.17   @ 0.25 @   [0.0,0.0] @   25.04             @ 0.10200000000000001  @  C2
  0.51   @ 0.25 @   [0.0,0.0] @   7.44              @ 0.09333333333333334  @  C2
  0.8    @ 0.25 @   [0.0,0.0] @   -2.00             @ 0.09333333333333334  @  C2
  1.0    @ 0.25 @   [0.0,0.1] @   -5.8              @ 0.09333333333333334  @  C2
